Corp,Corp Name,School,School Name,"Performance Points
 (3-8)","Performance Weight
 (3-8)","Growth Points
 (4-8)","Growth Weight
 (4-8)","Performance Points
 (10)","Performance Weight
 (10)","Growth Points
 (10-12)","Growth Weight
 (10-12)","Mult. Measures Points
 (12)","Mult. Measures Weight
 (12)",Overall Points,Overall Grade
0015,Adams Central Community Schools,0013,Adams Central Middle School,72.2,0.5,110.2,0.5,,,,,,,91.2,A
0015,Adams Central Community Schools,0020,Adams Central Elementary School,67,0.5,82.2,0.5,,,,,,,74.6,C
0015,Adams Central Community Schools,0021,Adams Central High School,,,,,62.4,0.2,86.4,0.2,100.6,0.6,90.1,A
0025,North Adams Community Schools,0029,Bellmont Senior High School,,,,,57,0.2,107.9,0.2,101.1,0.6,93.6,A
0025,North Adams Community Schools,0033,Bellmont Middle School,54.1,0.5,108.7,0.5,,,,,,,81.4,B
0025,North Adams Community Schools,0037,Northwest Elementary,46.3,0.5,100.3,0.5,,,,,,,73.3,C
0025,North Adams Community Schools,0041,Southeast Elementary School,46.3,0.5,100.3,0.5,,,,,,,73.3,C
0035,South Adams Schools,0017,South Adams Middle School,67.4,0.5,107.4,0.5,,,,,,,87.4,B
0035,South Adams Schools,0023,South Adams High School,,,,,55,0.2,94.2,0.2,101.9,0.6,91.0,A
0035,South Adams Schools,0025,South Adams Elementary School,72.9,0.5,107.7,0.5,,,,,,,90.3,A
0125,M S D Southwest Allen County Schls,0045,Aboite Elementary School,80.6,0.5,93.7,0.5,,,,,,,87.2,B
0125,M S D Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,64.3,0.5,82.8,0.5,,,,,,,73.6,C
0125,M S D Southwest Allen County Schls,0047,Homestead Senior High School,,,,,68.1,0.2,116.3,0.2,100.4,0.6,97.1,A
0125,M S D Southwest Allen County Schls,0063,Summit Middle School,75.2,0.5,111.1,0.5,,,,,,,93.2,A
0125,M S D Southwest Allen County Schls,0064,Lafayette Meadow School,77.2,0.5,100.4,0.5,,,,,,,88.8,B
0125,M S D Southwest Allen County Schls,0067,Woodside Middle School,77.2,0.5,111.2,0.5,,,,,,,94.2,A
0125,M S D Southwest Allen County Schls,0068,Haverhill Elementary School,69.2,0.5,59.3,0.5,,,,,,,64.3,D
0125,M S D Southwest Allen County Schls,0071,Deer Ridge Elementary,77.5,0.5,101.2,0.5,,,,,,,89.4,B
0125,M S D Southwest Allen County Schls,0072,Covington Elementary School,63.5,0.5,102.6,0.5,,,,,,,83.1,B
